0x849d52316331967b6ff1198e5e32a0eb168d039d,"233,632.3"
0x2c076c41eaa56e5a61f2a36cf56159fff15738ac,"217,371.0"
0xf161b66cafea6dee3e0c1756e7272353c2f0de50,"138,456.2"
0x43436c54d4d1b5c3bef23b58176b922bcb73fb9a,"89,338.5"
0xf79bb3c50bb6ca236fb56aadfae2e5ad6f3cb807,"77,253.3"
0xa298a465ef9a8bd726ff49bcc62c9292e524acb2,"71,352.9"
0x1addca06642b4f00d077c295733f1e19d562293b,"39,692.2"
0x3997f285f970075ee59ee18aa0cbe3a0c15d48fa,"38,255.5"
0x9e1e303635910c2d398647313170b11fc41cb0dc,"18,642.5"
0x27f0e8beccfa594f4b08c24226ce75c535b900ea,"15,458.4"
0xad06b6d2a0ac15ec685099111b65fe61394fabd2,"15,343.2"
0x5a7ed5b65f599cb77a3951ba9bbb8cc21358ca03,"14,378.5"
0xb1b5d4cb210a7154620e660d879bdc6af7bcf6ba,"8,044.8"
0x43378368d84d4ba00d1c8e97ec2e6016a82fc062,"6,702.6"
0x5880e491215281d6c3a1697b8b7b530e3380fef1,"5,440.9"
0xc0ce356187144b4fa19ea720a23e39d2542d1fec,"2,477.9"
0x8ba196f3f995fc71b2fe9610c985de5852ff219e,"2,145.5"
0xb46ae97180cb65b7589d58a258b26917ffccc688,"1,030.3"
0x75a28bff85c845a59297cab7b3cc5686554914a5,749.5
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,617.7
0x20a690167060542efff10a947958286c31c7ff41,599.0
0xe5d900cb9631b1195aa53f2a378f4facbc8ec663,505.4
0x4456584b37c87ea8729bdb9104837e31ab1e6dc8,470.8
0xec74c7dacbe337ea39116851cdf3851f6bd754b2,442.3
0x52beaf46d98a6caa234d5d6fd3870fd8a7727b74,270.3
0xea1feb9a9a006a7fc253c6ca87349be0da072f25,218.8
0x9fc34d7aafa38c58689cca6060c4e178eda4940b,115.2
0x9233a0a9bc09cccab1c28bfaed9f130684b63fc9,70.8
0x0817f4f56a409ad9f2fffb042cacb431e9179b45,69.1
